problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_with_3_neighbourhoods - solution,basic_VNS_with_3_neighbourhoods - deviation (%),basic_VNS_with_3_neighbourhoods - time (s)
10.2,163603.94,163603.94316823076,0.0,0.449977,163603.94316823076,0.0,1.265452
10.3,131581.79,131581.78694651497,0.0,0.587919,131581.78694651497,0.0,1.693084
10.4,107354.73,107354.72987314496,0.0,0.682264,107354.72987314496,0.0,1.98162
10.5,86028.88,86028.88433015869,0.0,0.713795,86028.88433015869,0.0,2.038032
10.8,,54628.75132990381,,0.458245,54628.75132990381,,1.308379
15.2,,167236.84180780363,,0.803628,167236.84180780363,,2.309204
15.3,,147872.07474300815,,1.149523,147872.07474300815,,3.357155
15.4,,128607.6909619953,,1.452718,128607.6909619953,,4.201336
15.5,,111464.72715234837,,1.715544,111464.72715234837,,4.816424
15.8,,78050.10836156523,,1.990108,78050.10836156523,,5.606989
20.2,168599.79,168599.78613799086,0.0,1.333885,168599.78613799086,0.0,3.745384
20.3,148048.3,148048.29925765764,0.0,1.907319,148048.29925765764,0.0,5.654481
20.4,131665.43,131665.43008921546,0.0,2.517796,131665.43008921546,0.0,7.182041
20.5,118934.97,118934.97445820285,0.0,3.109002,118934.97445820285,0.0,9.124362
20.8,,91454.82609954762,,4.414649,91454.82609954762,,11.836531
25.2,171298.1,171298.09568175432,0.0,1.948898,171298.09568175432,0.0,5.56545
25.3,151080.66,151080.66306193176,0.0,2.86926,151080.66306193176,0.0,8.879749
25.4,135638.58,135638.58089233382,0.0,4.015853,135638.58089233382,0.0,11.753063
25.5,120581.99,120581.99173620186,0.0,5.077801,120581.99173620186,0.0,14.121036
25.8,,97795.58755288146,,7.777977,97795.58755288146,,21.646886
40.2,173415.96,173415.9637645172,0.0,5.152828,173415.9637645172,0.0,15.072387
40.3,155458.61,155458.61213156622,0.0,8.543419,155458.61213156622,0.0,23.423196
40.4,140682.74,140682.7392820966,0.0,11.64294,140682.7392820966,0.0,32.51827
40.5,130384.74,130384.74338872089,0.0,14.945402,130384.74338872089,0.0,42.349262
40.8,,109971.9223299307,,25.897819,110358.26285872838,,71.000862
50.2,,174390.031473021,,8.878314,174390.031473021,,25.553569
50.3,156014.73,156014.7278342768,0.0,14.717617,156014.7278342768,0.0,40.663885
50.4,141153.38,141153.3775079131,0.0,20.634584,141153.3775079131,0.0,57.693111
50.5,129412.6,129412.6018032991,0.0,26.31896,129412.6018032991,0.0,75.600445
50.8,,110320.0581968465,,47.712675,110320.0581968465,,130.172258
100.2,176245.38,176245.3801488069,0.0,55.390364,176245.3801488069,0.0,160.063324
100.3,157869.93,157869.92527569504,0.0,93.402933,157869.92527569504,0.0,265.327495
100.4,143004.31,143004.30634705603,0.0,130.765123,143004.30634705603,0.0,372.232361
100.5,133482.57,133494.00863751917,0.0086,188.448748,133482.57465218302,0.0,510.733294
100.8,,115143.6010813045,,371.955912,115143.6010813045,,967.419921
200.2,178093.99,178093.99093172632,0.0,436.299694,178093.99093172632,0.0,1281.339553
200.3,159725.11,159725.10502910597,0.0,735.951093,159725.10502910597,0.0,2101.269429
200.4,,144508.20395305645,,1093.367098,144508.20395305645,,3066.562967
200.5,,136777.90905692265,,1523.019631,136777.90905692265,,4245.788285
200.8,,118322.99822041647,,3218.736001,117709.97794000476,,8032.841625
