problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),deterministic_VNS - solution,deterministic_VNS - deviation (%),deterministic_VNS - time (s)
10.2,163603.94,163603.9393516288,0.0,0.070197,163603.9393516288,0.0,0.032456
10.3,131581.79,131581.7826951448,0.0,0.096228,131581.7826951448,0.0,0.044982
10.4,107354.73,107354.7265872356,0.0,0.110068,107354.7265872356,0.0,0.052872
10.5,86028.88,86028.88187620931,0.0,0.11671,86028.88187620931,0.0,0.055326
10.8,,54628.749569641855,,0.075418,54628.749569641855,,0.034772
15.2,,167236.83618127473,,0.148112,167236.83618127473,,0.070522
15.3,,147872.06911446192,,0.214453,147872.06911446192,,0.103232
15.4,,128607.68472845631,,0.269207,128607.68472845631,,0.131428
15.5,,111464.7215877843,,0.316995,111464.7215877843,,0.155645
15.8,,78050.1039857115,,0.379283,78050.1039857115,,0.185783
20.2,168599.79,168599.7773367976,0.0,0.271173,168599.7773367976,0.0,0.132341
20.3,148048.3,148048.2905454758,0.0,0.405879,148048.2905454758,0.0,0.199851
20.4,131665.43,131665.42114923368,0.0,0.531235,131665.42114923368,0.0,0.261055
20.5,118934.97,118934.96628475966,0.0,0.656039,118934.96628475966,0.0,0.325126
20.8,,91454.8197419801,,0.919302,91454.8197419801,,0.463854
25.2,171298.1,171298.0828693258,0.0,0.439196,171298.0828693258,0.0,0.213633
25.3,151080.66,151080.65097345714,0.0,0.671257,153172.0889445721,1.3843,0.326783
25.4,135638.58,135638.56884586238,0.0,0.887946,136687.3867154988,0.7732,0.438428
25.5,120581.99,120581.98060344,0.0,1.130642,120581.98060344,0.0,0.566219
25.8,,97795.57899383023,,1.737075,97830.51896868262,,0.861886
40.2,173415.96,173415.94381646797,0.0,1.285743,173415.94381646797,0.0,0.637045
40.3,155458.61,155458.59349757375,0.0,2.044299,159197.59949725907,2.4051,0.99595
40.4,140682.74,140682.71968351444,0.0,2.868916,140682.71968351444,0.0,1.456429
40.5,130384.74,130384.72481326383,0.0,3.668233,130384.72481326383,0.0,1.8683
40.8,,109971.90411685292,,6.395594,110358.24572960642,,3.141102
50.2,,174390.00642084194,,2.218953,174390.00642084194,,1.09626
50.3,156014.73,156014.70404503093,0.0,3.579822,156014.70404503093,0.0,1.814477
50.4,141153.38,141153.35456611417,0.0,5.130186,141153.35456611417,0.0,2.649209
50.5,129412.6,129412.57922729643,0.0,6.671344,129505.83138867524,0.072,3.41387
50.8,,109926.57611541831,,11.76083,110320.03823378726,,6.035405
100.2,176245.38,176245.32824854634,0.0,13.31635,176245.32824854634,0.0,6.738914
100.3,157869.93,157869.87367527082,0.0,21.932608,157869.87367527082,0.0,11.050468
100.4,143004.31,143004.25462563414,0.0,31.52644,143004.25462563414,0.0,16.012367
100.5,133482.57,133482.52556319747,0.0,41.927549,133493.96007877003,0.0085,21.310697
100.8,,114354.88047824403,,80.476181,115180.52276198789,,40.804753
200.2,178093.99,178093.8934284479,0.0001,89.221556,178093.8934284479,0.0001,44.976085
200.3,159725.11,159725.00989109906,0.0001,120.717247,159725.00989109906,0.0001,75.934331
200.4,,144508.11244206104,,120.772303,144508.11244206104,,112.155594
200.5,,137016.5547048255,,120.172159,136777.81722225389,,121.202869
200.8,,118322.90753412205,,123.019717,118322.90753412205,,122.695667
