problem,basic_VNS - deviation (%),basic_VNS - time (s),general_VNS - deviation (%),general_VNS - time (s)
10.2,0.0,0.02,0.0,0.15
10.3,0.0,0.02,0.0,0.21
10.4,0.0,0.02,0.0,0.25
10.5,0.0,0.03,0.0,0.25
10.8,,0.02,,0.16
15.2,,0.03,,0.32
15.3,,0.05,,0.46
15.4,,0.06,,0.6
15.5,,0.07,,0.7
15.8,,0.09,,0.83
20.2,0.0,0.06,0.0,0.6
20.3,0.0,0.09,0.0,0.91
20.4,0.0,0.12,0.0,1.18
20.5,0.0,0.14,0.95,1.44
20.8,,0.21,,2.05
25.2,0.0,0.09,0.0,0.97
25.3,0.0,0.14,0.0,1.55
25.4,0.77,0.19,0.0,1.98
25.5,0.0,0.25,0.0,2.5
25.8,,0.4,,3.78
25.10,,0.45,,4.7
40.2,0.0,0.27,0.0,2.96
40.3,0.0,0.46,0.0,4.76
40.4,0.0,0.65,0.0,6.41
40.5,0.0,0.79,0.0,8.24
40.8,,1.44,,14.12
40.10,0.0,1.92,0.0,17.64
50.2,0.0,0.46,0.0,4.99
50.3,0.0,0.76,0.0,8.17
50.4,0.0,1.15,0.0,11.54
50.5,0.0,1.52,0.07,15.07
50.8,,2.65,,26.06
50.10,0.14,3.58,0.0,34.34
100.2,0.0,2.82,0.0,30.17
100.3,0.0,4.62,0.0,49.87
100.4,0.0,6.66,0.0,61.22
100.5,0.0,9.86,0.0,62.97
100.8,,20.47,,68.09
100.10,,26.46,,70.24
200.2,0.0,19.0,0.0,67.97
