problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),reduced_VNS - solution,reduced_VNS - deviation (%),reduced_VNS - time (s)
10.2,163603.94,163603.9393516288,0.0,0.070365,163603.9393516288,0.0,0.03233
10.3,131581.79,131581.7826951448,0.0,0.095374,131581.7826951448,0.0,0.045557
10.4,107354.73,107354.7265872356,0.0,0.111351,107354.7265872356,0.0,0.053191
10.5,86028.88,86028.88187620931,0.0,0.116467,86028.88187620931,0.0,0.055619
10.8,,54628.749569641855,,0.075737,54628.749569641855,,0.035028
15.2,,167236.83618127473,,0.14724,167236.83618127473,,0.071308
15.3,,147872.06911446192,,0.214011,147872.06911446192,,0.103954
15.4,,128607.68472845631,,0.273869,128607.68472845631,,0.132746
15.5,,111464.7215877843,,0.318973,111464.7215877843,,0.154419
15.8,,78050.1039857115,,0.382605,78050.1039857115,,0.185911
20.2,168599.79,168599.7773367976,0.0,0.263802,168599.7773367976,0.0,0.13171
20.3,148048.3,148048.2905454758,0.0,0.394512,148883.98407825918,0.5645,0.192166
20.4,131665.43,131665.42114923368,0.0,0.530748,131665.42114923368,0.0,0.26024
20.5,118934.97,118934.96628475966,0.0,0.63372,118934.96628475966,0.0,0.310328
20.8,,91454.8197419801,,0.898757,91454.8197419801,,0.456624
25.2,171298.1,171298.0828693258,0.0,0.42574,171298.0828693258,0.0,0.206397
25.3,151080.66,151080.65097345714,0.0,0.650924,153172.0889445721,1.3843,0.320436
25.4,135638.58,135638.56884586238,0.0,0.882941,136687.3867154988,0.7732,0.43003
25.5,120581.99,120581.98060344,0.0,1.08822,120581.98060344,0.0,0.551479
25.8,,97795.57899383023,,1.700035,97795.57899383023,,0.85446
40.2,173415.96,173415.94381646797,0.0,1.26025,173415.94381646797,0.0,0.617154
40.3,155458.61,155458.59349757375,0.0,1.998078,155458.59349757375,0.0,0.99228
40.4,140682.74,140682.71968351444,0.0,2.882931,140682.71968351444,0.0,1.450911
40.5,130384.74,130384.72481326383,0.0,3.615552,130384.72481326383,0.0,1.858645
40.8,,109971.90411685292,,6.398933,109971.90411685292,,3.228475
50.2,,174390.00642084194,,2.226416,174390.00642084194,,1.096172
50.3,156014.73,156014.70404503093,0.0,3.618634,156014.70404503093,0.0,1.817508
50.4,141153.38,141153.35456611417,0.0,5.141754,141153.35456611417,0.0,2.583856
50.5,129412.6,129412.57922729643,0.0,6.724947,129505.83138867524,0.072,3.40251
50.8,,110320.03823378726,,11.790465,110320.03823378726,,6.153971
100.2,176245.38,176245.32824854634,0.0,13.217178,176245.32824854634,0.0,6.622482
100.3,157869.93,157869.87367527082,0.0,21.738932,157869.87367527082,0.0,11.187996
100.4,143004.31,143004.25462563414,0.0,31.477393,143004.25462563414,0.0,16.284401
100.5,133482.57,133493.96007877003,0.0085,42.384319,133482.52556319747,0.0,22.005495
100.8,,115143.55272444824,,78.608305,116141.78915057576,,39.819599
200.2,178093.99,178093.8934284479,0.0001,88.977611,178093.8934284479,0.0001,44.456518
200.3,159725.11,159725.00989109906,0.0001,120.425852,159725.00989109906,0.0001,76.534478
200.4,,144508.11244206104,,120.340962,144580.0159377709,,111.266994
200.5,,137016.5547048255,,120.051486,136777.81722225389,,149.559967
200.8,,118322.90753412205,,120.262387,118322.90753412205,,304.93044
