problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_divers_0_1 - solution,basic_VNS_divers_0_1 - deviation (%),basic_VNS_divers_0_1 - time (s),basic_VNS_divers_0_2 - solution,basic_VNS_divers_0_2 - deviation (%),basic_VNS_divers_0_2 - time (s),basic_VNS_divers_0_5 - solution,basic_VNS_divers_0_5 - deviation (%),basic_VNS_divers_0_5 - time (s),basic_VNS_divers_1 - solution,basic_VNS_divers_1 - deviation (%),basic_VNS_divers_1 - time (s)
10.2,163603.94,163603.94316823076,0.0,0.6280722618103027,163603.94316823076,0.0,1.1670875549316406,163603.94316823076,0.0,1.1671490669250488,163603.94316823076,0.0,1.1692543029785156,163603.94316823076,0.0,1.1716840267181396
10.3,131581.79,131581.786946515,0.0,0.9637343883514404,131581.786946515,0.0,1.8183221817016602,131581.786946515,0.0,1.7498555183410645,131581.786946515,0.0,1.7686238288879395,131581.786946515,0.0,1.7658798694610596
10.4,107354.73,107354.72987314493,0.0,1.2061817646026611,107354.72987314493,0.0,2.3180506229400635,107354.72987314493,0.0,2.407635450363159,107354.72987314493,0.0,2.240013837814331,107354.72987314493,0.0,2.2504193782806396
10.5,86028.88,86028.88433015873,0.0,1.296504020690918,86028.88433015873,0.0,2.5741984844207764,86028.88433015873,0.0,2.389845371246338,86028.88433015873,0.0,2.3858768939971924,86028.88433015873,0.0,2.398756980895996
10.8,,54628.751329903804,,0.7631142139434814,54628.751329903804,,1.3801028728485107,54628.751329903804,,1.434992790222168,54628.751329903804,,1.3744628429412842,54628.751329903804,,1.3823916912078857
15.2,,167236.84180780375,,2.2879199981689453,167236.84180780375,,4.567674398422241,167236.84180780375,,4.396191358566284,167236.84180780375,,4.378533601760864,167236.84180780375,,4.355112075805664
15.3,,147872.07474300812,,3.9776206016540527,147872.07474300812,,7.245749473571777,147872.07474300812,,7.5551598072052,147872.07474300812,,7.289220809936523,147872.07474300812,,7.263864278793335
15.4,,128607.69096199537,,5.611387014389038,128607.69096199537,,9.946093320846558,128607.69096199537,,9.87400770187378,128607.69096199537,,9.941095113754272,128607.69096199537,,9.94295859336853
15.5,,111464.7271523484,,6.354775905609131,111464.7271523484,,12.481136322021484,111464.7271523484,,13.03057599067688,111464.7271523484,,12.590972900390625,111464.7271523484,,12.59557318687439
15.8,,78050.10836156514,,8.654418706893921,78050.10836156514,,15.81266188621521,78050.10836156514,,15.810866832733154,78050.10836156514,,15.163310289382935,78050.10836156514,,15.183488368988037
20.2,168599.79,168599.78613799083,0.0,5.766932249069214,168599.78613799083,0.0,11.293022632598877,168599.78613799083,0.0,11.316227197647095,168599.78613799083,0.0,11.357552766799927,168599.78613799083,0.0,11.400124549865723
20.3,148048.3,148048.29925765764,0.0,10.785698890686035,148048.29925765764,0.0,20.081440210342407,148048.29925765764,0.0,19.324586391448975,148048.29925765764,0.0,19.373769760131836,148048.29925765764,0.0,19.395766258239746
20.4,131665.43,131665.4300892154,0.0,15.527997493743896,131665.4300892154,0.0,29.524624586105347,131665.4300892154,0.0,29.437352657318115,131665.4300892154,0.0,28.208482027053833,131665.4300892154,0.0,28.22439932823181
20.5,118934.97,119702.3908223526,0.6452,19.242522954940796,118934.97445820276,0.0,36.560054779052734,118934.97445820276,0.0,38.151533365249634,118934.97445820276,0.0,36.662641763687134,118934.97445820276,0.0,36.62743091583252
20.8,,91454.8260995476,,30.08614683151245,91454.8260995476,,59.7473783493042,91454.8260995476,,59.40590190887451,91454.8260995476,,57.257689476013184,91454.8260995476,,57.43420648574829
25.2,171298.1,171298.09568175444,0.0,12.456643342971802,171298.09568175444,0.0,24.57436752319336,171298.09568175444,0.0,24.684041500091553,171298.09568175444,0.0,24.63922667503357,171298.09568175444,0.0,24.652095556259155
25.3,151080.66,151080.66306193173,0.0,23.028066873550415,151080.66306193173,0.0,44.1310031414032,151080.66306193173,0.0,45.828981161117554,151080.66306193173,0.0,43.89890956878662,153172.09948061226,1.3843,42.7250189781189
25.4,135638.58,135638.58089233373,0.0,34.743706703186035,135638.58089233373,0.0,69.40923833847046,135638.58089233373,0.0,67.0586416721344,135638.58089233373,0.0,64.3378438949585,135638.58089233373,0.0,66.34492063522339
25.5,120581.99,120581.99173620185,0.0,47.869022607803345,120581.99173620185,0.0,91.85947465896606,120581.99173620185,0.0,95.73794913291931,120581.99173620185,0.0,89.51671624183655,120581.99173620185,0.0,89.38209843635559
25.8,,97830.5276091368,,82.13076686859131,97795.58755288157,,157.44885540008545,97795.58755288157,,151.6211040019989,97830.5276091368,,153.76406383514404,97830.5276091368,,147.78072595596313
40.2,173415.96,173415.96376451803,0.0,66.96808052062988,173415.96376451803,0.0,128.0658097267151,173415.96376451803,0.0,128.31306099891663,173415.96376451803,0.0,128.3221297264099,173415.96376451803,0.0,128.24280524253845
40.3,155458.61,155458.61213156683,0.0,124.10543870925903,155458.61213156683,0.0,237.54913926124573,155458.61213156683,0.0,246.99814248085022,155458.61213156683,0.0,248.40903282165527,159197.61903998695,2.4051,224.81531238555908
40.4,140682.74,140682.73928209665,0.0,205.7586727142334,140682.73928209665,0.0,371.68245124816895,140682.73928209665,0.0,372.66057658195496,140682.73928209665,0.0,374.01159834861755,140682.73928209665,0.0,374.6848702430725
