problem,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_divers_0_9 - deviation (%),basic_VNS_divers_0_9 - time (s),basic_VNS_divers_0_8 - deviation (%),basic_VNS_divers_0_8 - time (s),basic_VNS_divers_0_5 - deviation (%),basic_VNS_divers_0_5 - time (s)
10.2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
10.3,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01
10.4,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01
10.5,0.0,0.03,0.0,0.01,0.0,0.01,0.0,0.01
20.2,0.0,0.06,0.0,0.02,0.0,0.02,0.0,0.02
20.3,0.0,0.09,0.0,0.03,0.0,0.03,0.0,0.03
20.4,0.0,0.11,0.0,0.03,0.0,0.03,0.0,0.04
20.5,0.0,0.15,0.0,0.05,0.0,0.04,0.0,0.04
25.2,0.0,0.09,0.0,0.03,0.0,0.03,0.0,0.02
25.3,0.0,0.14,0.0,0.05,0.0,0.04,0.0,0.05
25.4,0.0,0.19,0.0,0.06,0.0,0.07,0.0,0.07
25.5,0.0,0.25,0.0,0.08,0.0,0.09,0.0,0.08
40.2,0.0,0.28,0.0,0.08,0.0,0.08,0.0,0.07
40.3,0.0,0.46,2.41,0.11,0.0,0.15,0.0,0.15
40.4,0.0,0.64,0.0,0.22,0.0,0.22,0.0,0.22
40.5,0.0,0.81,0.0,0.25,0.0,0.29,0.0,0.25
40.10,0.0,1.82,0.0,0.65,0.0,0.65,0.0,0.65
50.2,0.0,0.46,0.0,0.12,0.0,0.13,0.0,0.13
50.3,0.0,0.76,0.0,0.28,0.0,0.21,0.0,0.23
50.4,0.0,1.13,0.0,0.46,0.0,0.39,0.0,0.39
50.5,0.07,1.56,0.07,0.48,0.0,0.58,0.0,0.57
50.10,0.14,3.5,0.0,1.6,0.14,1.31,0.0,1.53
100.2,0.0,2.82,0.0,0.79,0.0,0.85,0.0,0.78
100.3,0.0,4.71,0.0,1.73,0.0,1.29,0.0,1.29
100.4,0.0,6.85,0.0,2.01,0.0,2.15,0.0,2.16
100.5,0.01,9.81,0.01,3.06,0.0,3.45,0.01,3.06
200.2,0.0,19.1,0.0,5.74,0.0,5.29,0.0,5.29
200.3,0.0,32.37,0.0,8.8,0.0,9.53,0.0,9.56
mean,0.007857142857142858,3.1517857142857144,0.08892857142857143,0.9557142857142857,0.005,0.9625000000000001,0.00035714285714285714,0.9539285714285715
