problem,rvns_divers_1 - deviation (%),rvns_divers_1 - time (s),rvns_divers_0_9 - deviation (%),rvns_divers_0_9 - time (s),rvns_divers_0_8 - deviation (%),rvns_divers_0_8 - time (s),rvns_divers_0_5 - deviation (%),rvns_divers_0_5 - time (s)
10.2,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.02
10.3,0.0,0.02,0.0,0.03,0.0,0.03,0.0,0.03
10.4,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.04
10.5,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.04
20.2,0.0,0.05,0.0,0.1,0.0,0.08,0.0,0.08
20.3,0.0,0.1,0.0,0.12,0.0,0.12,0.0,0.12
20.4,0.0,0.13,0.0,0.2,0.0,0.18,0.0,0.18
20.5,0.0,0.14,0.65,0.25,0.0,0.21,0.0,0.2
25.2,0.0,0.1,0.0,0.15,0.0,0.13,0.0,0.13
25.3,1.38,0.15,0.0,0.24,0.0,0.22,0.0,0.2
25.4,0.0,0.23,0.0,0.33,0.77,0.28,0.77,0.27
25.5,0.0,0.27,0.0,0.54,0.0,0.39,0.0,0.36
40.2,0.0,0.29,0.0,0.47,0.0,0.48,0.0,0.39
40.3,0.0,0.47,2.41,0.9,2.41,0.6,2.41,0.6
40.4,0.0,0.78,0.0,1.38,0.0,1.11,0.0,0.92
40.5,0.0,0.97,0.0,1.63,0.0,1.21,0.0,1.29
40.10,1.25,2.09,0.0,3.37,1.25,2.63,0.0,3.06
50.2,0.0,0.49,0.0,0.76,0.0,0.67,0.0,0.69
50.3,0.0,1.08,0.0,1.42,0.0,1.16,0.0,1.15
50.4,2.05,1.19,0.0,2.41,0.0,2.22,0.0,1.62
50.5,0.0,1.71,0.0,3.05,0.07,2.27,0.07,2.2
50.10,0.14,3.92,0.14,8.18,0.14,6.02,0.14,5.13
100.2,0.0,3.13,0.0,5.22,0.0,4.82,0.0,4.29
100.3,0.0,4.92,0.0,10.47,0.0,7.27,0.0,7.28
100.4,0.0,7.23,0.06,11.8,0.0,10.94,0.0,10.16
100.5,0.0,9.72,0.01,16.5,0.0,16.98,0.01,14.19
200.2,0.0,20.28,0.0,33.47,0.0,28.64,0.0,28.25
200.3,0.0,36.1,0.0,53.78,0.0,49.46,0.0,49.34
mean,0.17214285714285713,3.4153571428571428,0.11678571428571428,5.6025,0.16571428571428573,4.936071428571429,0.12142857142857143,4.722500000000001
