problem,optimal solution,RVNS shake=0.5 kmax=3 max_iter=10 grane_init - solution,RVNS shake=0.5 kmax=3 max_iter=10 grane_init - deviation (%),RVNS shake=0.5 kmax=3 max_iter=10 grane_init - time (s)
10.2,163603.94,163603.94,0.0,0.01
10.3,131581.79,131581.78,0.0,0.02
10.4,107354.73,107354.73,0.0,0.02
10.5,86028.88,86028.88,0.0,0.02
10.8,,54628.75,,0.01
20.2,168599.79,168599.78,0.0,0.04
20.3,148048.3,148048.29,0.0,0.07
20.4,131665.43,131665.42,0.0,0.09
20.5,118934.97,118934.97,0.0,0.11
20.8,,91454.82,,0.17
25.2,171298.1,171298.08,0.0,0.07
25.3,151080.66,153172.09,1.38,0.11
25.4,135638.58,136687.39,0.77,0.15
25.5,120581.99,120581.98,0.0,0.21
25.8,,97795.58,,0.33
25.10,,86754.95,,0.37
40.2,173415.96,173415.94,0.0,0.23
40.3,155458.61,159197.6,2.41,0.33
40.4,140682.74,140682.72,0.0,0.54
40.5,130384.74,130384.72,0.0,0.68
40.8,109971.92,109971.9,0.0,1.24
40.10,99452.67,99452.66,0.0,1.64
50.2,174390.03,174390.01,0.0,0.37
50.3,156014.73,159483.42,2.22,0.6
mean,138709.428,129798.76666666668,0.339,0.3095833333333333
