problem,optimal solution,basic_VNS_robust_init - solution,basic_VNS_robust_init - deviation (%),basic_VNS_robust_init - time (s),basic_VNS_median_init - solution,basic_VNS_median_init - deviation (%),basic_VNS_median_init - time (s)
10.2,163603.94,163603.9393516288,0.0,0.071475,163603.9393516288,0.0,0.069682
10.3,131581.79,131581.7826951448,0.0,0.096671,131581.7826951448,0.0,0.095364
10.4,107354.73,107354.7265872356,0.0,0.111328,107354.7265872356,0.0,0.111014
10.5,86028.88,86028.88187620931,0.0,0.116596,86028.88187620931,0.0,0.11655
10.8,,54628.749569641855,,0.075778,54628.749569641855,,0.075587
15.2,,167236.83618127473,,0.149103,167236.83618127473,,0.148511
15.3,,147872.06911446192,,0.216235,147872.06911446192,,0.21399
15.4,,128607.68472845631,,0.276595,128607.68472845631,,0.27493
15.5,,111464.7215877843,,0.323035,111464.7215877843,,0.325557
15.8,,78050.1039857115,,0.384314,78050.1039857115,,0.381142
20.2,168599.79,168599.7773367976,0.0,0.265415,168599.7773367976,0.0,0.263556
20.3,148048.3,148048.2905454758,0.0,0.401497,148048.2905454758,0.0,0.400429
20.4,131665.43,131665.42114923368,0.0,0.517717,131665.42114923368,0.0,0.516459
20.5,118934.97,118934.96628475966,0.0,0.639641,118934.96628475966,0.0,0.647589
20.8,,91454.8197419801,,0.90004,91454.8197419801,,0.903499
25.2,171298.1,171298.0828693258,0.0,0.426452,171298.0828693258,0.0,0.424783
25.3,151080.66,151080.65097345714,0.0,0.642733,151080.65097345714,0.0,0.651567
25.4,135638.58,135638.56884586238,0.0,0.888337,135638.56884586238,0.0,0.878829
25.5,120581.99,120581.98060344,0.0,1.105328,120581.98060344,0.0,1.098313
25.8,,97795.57899383023,,1.70347,97795.57899383023,,1.68528
40.2,173415.96,173415.94381646797,0.0,1.259854,173415.94381646797,0.0,1.261287
40.3,155458.61,155458.59349757375,0.0,2.010957,155458.59349757375,0.0,2.051243
40.4,140682.74,140682.71968351444,0.0,2.834858,140682.71968351444,0.0,2.781378
40.5,130384.74,130384.72481326383,0.0,3.655563,130384.72481326383,0.0,3.705574
40.8,,109971.90411685292,,6.378628,109971.90411685292,,6.218864
50.2,,174390.00642084194,,2.221927,174390.00642084194,,2.219148
50.3,156014.73,156014.70404503093,0.0,3.636175,156014.70404503093,0.0,3.583725
50.4,141153.38,141153.35456611417,0.0,5.150614,141153.35456611417,0.0,5.12181
50.5,129412.6,129412.57922729643,0.0,6.773929,129412.57922729643,0.0,6.597079
50.8,,110320.03823378726,,11.679443,109926.57611541831,,11.867597
100.2,176245.38,176245.32824854634,0.0,13.271625,176245.32824854634,0.0,13.299872
100.3,157869.93,157869.87367527082,0.0,21.877395,157869.87367527082,0.0,21.830973
100.4,143004.31,143004.25462563414,0.0,31.423539,143004.25462563414,0.0,31.569023
100.5,133482.57,133482.52556319747,0.0,41.859496,133493.96007877003,0.0085,42.211815
100.8,,115143.55272444824,,78.272855,114295.86889364556,,80.432958
200.2,178093.99,178093.8934284479,0.0001,89.417259,178093.8934284479,0.0001,89.894746
200.3,159725.11,159725.00989109906,0.0001,121.449321,159725.00989109906,0.0001,121.375698
200.4,,144508.11244206104,,120.58249,144508.11244206104,,120.540212
200.5,,136761.72731230763,,122.016078,137016.5547048255,,121.830094
200.8,,117709.88690353601,,122.496611,118467.21310831838,,124.711874
