problem,optimal solution,basic_VNS_best_improvement - solution,basic_VNS_best_improvement - deviation (%),basic_VNS_best_improvement - time (s),basic_VNS_first_improvement - solution,basic_VNS_first_improvement - deviation (%),basic_VNS_first_improvement - time (s)
10.2,163603.94,163603.94316823076,0.0,1.219032,163603.94316823076,0.0,0.306121
10.3,131581.79,131581.786946515,0.0,1.851529,131581.786946515,0.0,0.468835
10.4,107354.73,107354.72987314493,0.0,2.342429,108262.49193795255,0.8456,0.237199
10.5,86028.88,86028.88433015873,0.0,2.465382,86028.88433015873,0.0,0.314043
10.8,,54628.751329903804,,1.463532,54628.751329903804,,0.327924
15.2,,167236.84180780375,,4.474712,167236.84180780375,,0.940202
15.3,,147872.07474300812,,7.521764,147872.07474300812,,1.2837
15.4,,128607.69096199537,,10.530636,128607.69096199537,,2.203492
15.5,,111464.7271523484,,12.624248,111464.7271523484,,1.857747
15.8,,78050.10836156514,,15.598245,78050.10836156514,,2.288381
20.2,168599.79,168599.78613799083,0.0,11.80417,171332.69799410936,1.6209,2.010609
20.3,148048.3,148048.29925765764,0.0,20.868765,148883.99296124774,0.5645,4.401016
20.4,131665.43,131665.4300892154,0.0,29.31587,134946.6054462214,2.4921,4.330743
20.5,118934.97,118934.97445820276,0.0,39.40709,121092.92031078532,1.8144,1.879196
20.8,,91454.8260995476,,58.791704,91454.8260995476,,13.446576
25.2,171298.1,171298.09568175444,0.0,24.712297,181726.99515625642,6.0882,3.120188
25.3,151080.66,151080.66306193173,0.0,43.098614,151080.66306193173,0.0,6.702624
25.4,135638.58,135638.58089233373,0.0,64.106038,138462.71381726512,2.0821,3.273827
25.5,120581.99,120581.99173620185,0.0,90.394169,123165.96433278079,2.1429,7.134352
25.8,,97795.58755288157,,149.228761,97830.5276091368,,19.195893
40.2,173415.96,173415.96376451803,0.0,128.959522,173415.96376451803,0.0,23.055102
40.3,155458.61,155458.61213156683,0.0,234.259042,158601.53883149519,2.0217,19.785209
40.4,140682.74,140682.73928209665,0.0,374.287235,145597.43071412318,3.4935,32.692555
