problem,bvns_best_ls_1 - deviation (%),bvns_best_ls_1 - time (s),bvns_best_ls_2 - deviation (%),bvns_best_ls_2 - time (s),bvns_best_ls_3 - deviation (%),bvns_best_ls_3 - time (s),bvns_best_ls_5 - deviation (%),bvns_best_ls_5 - time (s),bvns_first_45 - deviation (%),bvns_first_45 - time (s),bvns_first_50 - deviation (%),bvns_first_50 - time (s),bvns_first_55 - deviation (%),bvns_first_55 - time (s),bvns_first_60 - deviation (%),bvns_first_60 - time (s)
10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
10.4,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02
10.5,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02
20.2,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.03,0.0,0.03,1.62,0.03
20.3,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.03,0.0,0.05,0.56,0.03,0.0,0.05
20.4,0.0,0.02,0.0,0.02,0.0,0.03,0.0,0.04,0.83,0.03,0.0,0.05,0.0,0.03,0.0,0.05
20.5,0.0,0.02,0.95,0.03,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.05,0.0,0.04,1.81,0.06
25.2,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.05,0.0,0.05
25.3,0.0,0.02,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.05,0.0,0.05,0.0,0.07,1.38,0.06
25.4,0.77,0.03,0.77,0.04,0.77,0.04,0.77,0.06,0.77,0.07,0.0,0.08,0.28,0.07,0.0,0.08
25.5,0.0,0.04,0.0,0.06,0.0,0.06,0.0,0.09,0.0,0.1,0.7,0.08,0.02,0.14,1.14,0.1
40.2,0.0,0.03,0.0,0.04,0.0,0.05,0.0,0.08,0.0,0.08,3.58,0.09,0.0,0.14,0.0,0.13
40.3,2.41,0.04,0.0,0.07,2.41,0.08,2.41,0.12,0.0,0.15,0.0,0.16,0.0,0.22,1.18,0.21
40.4,0.0,0.11,0.0,0.14,0.0,0.14,0.0,0.24,0.0,0.2,0.0,0.18,3.26,0.2,3.49,0.24
40.5,0.0,0.11,0.0,0.16,0.0,0.2,0.0,0.29,0.0,0.3,0.0,0.34,0.79,0.28,1.46,0.27
40.10,0.0,0.39,0.0,0.47,0.0,0.67,0.0,0.66,3.89,0.2,0.0,0.44,3.91,0.25,0.21,0.46
50.2,0.0,0.05,0.0,0.07,0.0,0.1,0.0,0.13,0.0,0.17,0.0,0.16,0.0,0.18,7.23,0.12
50.3,0.0,0.12,2.22,0.1,0.0,0.19,0.0,0.23,0.0,0.26,0.0,0.27,0.26,0.3,0.26,0.34
50.4,0.0,0.2,0.0,0.2,0.0,0.32,0.0,0.42,0.67,0.2,2.05,0.27,1.39,0.2,5.3,0.31
50.5,0.0,0.22,0.07,0.35,0.07,0.39,0.07,0.48,4.94,0.26,8.65,0.16,3.02,0.34,0.85,0.55
50.10,0.0,0.72,0.0,1.18,0.0,1.24,0.14,1.39,3.01,0.65,3.72,0.62,5.68,0.7,2.05,1.3
100.2,0.0,0.33,0.0,0.46,0.0,0.59,0.0,0.85,0.04,0.68,8.78,0.54,0.0,0.94,0.0,0.95
100.3,0.0,0.64,0.0,0.75,0.0,1.39,0.0,1.4,0.0,0.87,0.0,1.73,5.87,1.25,0.0,1.3
100.4,0.0,1.08,0.0,1.38,0.0,1.7,0.06,2.17,0.06,1.83,1.13,1.07,2.43,1.35,6.4,1.66
100.5,0.01,1.43,0.01,1.83,0.01,2.51,0.01,3.07,6.27,0.84,3.12,2.04,2.21,0.74,7.11,2.39
200.2,0.0,1.77,0.0,2.65,0.0,3.99,0.0,5.31,2.43,3.97,1.94,3.98,3.93,4.93,0.58,6.66
200.3,0.0,5.17,0.0,5.17,0.0,11.03,0.0,9.57,1.85,7.67,2.36,3.99,0.87,5.37,1.71,11.04
mean,0.11392857142857142,0.44892857142857145,0.14357142857142854,0.5442857142857143,0.11642857142857142,0.8875000000000001,0.12357142857142857,0.9567857142857142,0.8842857142857143,0.6696428571428571,1.2867857142857144,0.589642857142857,1.2314285714285713,0.6389285714285714,1.5635714285714284,1.0167857142857142
