problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_with_parts_in_C - solution,basic_VNS_with_parts_in_C - deviation (%),basic_VNS_with_parts_in_C - time (s)
10.2,163603.94,163603.94316823076,0.0,1.125431,163603.94316823076,0.0,0.435396
10.3,131581.79,131581.78694651497,0.0,1.464144,131581.78694651497,0.0,0.569473
10.4,107354.73,107354.72987314496,0.0,1.7012,107354.72987314496,0.0,0.679403
10.5,86028.88,86028.88433015869,0.0,1.65117,86028.88433015869,0.0,0.722329
10.8,,54628.75132990381,,0.914763,54628.75132990381,,0.448868
15.2,,167236.84180780363,,3.533035,167236.84180780363,,0.832477
15.3,,147872.07474300815,,5.179887,147872.07474300815,,1.149785
15.4,,128607.6909619953,,5.972365,128607.6909619953,,1.43506
15.5,,111464.72715234837,,6.765864,111464.72715234837,,1.686521
15.8,,78050.10836156523,,7.353332,78050.10836156523,,1.952908
20.2,168599.79,168599.78613799086,0.0,7.981183,168599.78613799086,0.0,1.274912
20.3,148048.3,148883.99296124768,0.5645,11.842865,148048.29925765764,0.0,1.901439
20.4,131665.43,131665.43008921546,0.0,14.904277,131665.43008921546,0.0,2.496676
20.5,118934.97,118934.97445820285,0.0,18.22923,118934.97445820285,0.0,3.038309
20.8,,91454.82609954762,,22.329628,91454.82609954762,,4.462008
25.2,171298.1,171298.09568175432,0.0,15.561902,171298.09568175432,0.0,2.029533
25.3,151080.66,151080.66306193176,0.0,25.139712,151080.66306193176,0.0,3.126294
25.4,135638.58,135638.58089233382,0.0,32.015219,135638.58089233382,0.0,4.21183
25.5,120581.99,120581.99173620186,0.0,39.305211,120581.99173620186,0.0,5.235017
25.8,,97830.52760913665,,52.828006,97795.58755288146,,7.975838
40.2,173415.96,173415.9637645172,0.0,64.86845,173415.9637645172,0.0,5.188826
40.3,155458.61,155458.61213156622,0.0,104.784061,155458.61213156622,0.0,8.472476
40.4,140682.74,140682.7392820966,0.0,138.925688,140682.7392820966,0.0,12.005758
40.5,130384.74,130384.74338872089,0.0,174.299464,130384.74338872089,0.0,14.821581
40.8,,110358.26285872838,,265.37977,110358.26285872838,,25.832255
50.2,,174390.031473021,,127.909868,174390.031473021,,8.801949
50.3,156014.73,156014.7278342768,0.0,213.377537,156014.7278342768,0.0,14.47243
50.4,141153.38,141153.3775079131,0.0,287.75344,141153.3775079131,0.0,21.213099
50.5,129412.6,129412.6018032991,0.0,373.693768,129505.85382876746,0.0721,27.091024
50.8,,110320.0581968465,,563.70349,110320.0581968465,,48.182675
