problem,GVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - time (s),GVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - time (s),GVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - time (s),GVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - time (s),GVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0 first_ls kmax=3 max_iter=3 random_init - time (s),GVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - time (s)
20.2,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.3,0.29,0.29
20.3,0.45,0.49,0.45,0.45,0.45,0.45,0.45,0.5,0.58,0.45
20.4,0.59,0.59,0.6,0.58,0.59,0.59,0.59,0.59,0.59,0.59
20.5,0.72,0.79,0.71,0.72,0.79,0.73,0.72,0.71,0.79,0.71
25.2,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.47,0.48,0.48
25.3,0.72,0.73,0.72,0.87,0.72,0.73,0.8,0.73,0.73,0.73
25.4,1.08,0.98,1.08,1.08,0.98,1.09,0.97,1.07,1.0,0.99
25.5,1.22,1.24,1.24,1.24,1.24,1.23,1.24,1.24,1.25,1.24
40.2,1.43,1.43,1.43,1.42,1.44,1.41,1.43,1.42,1.43,1.44
40.3,2.27,2.27,2.48,2.28,2.27,2.48,2.47,2.48,2.27,2.35
40.4,3.21,3.17,3.18,3.21,3.19,3.19,3.22,3.21,3.22,3.19
40.5,4.1,4.11,4.13,4.12,4.15,4.11,4.1,4.1,4.07,4.16
40.10,8.91,8.95,8.85,8.88,9.01,8.89,8.89,8.89,9.01,9.08
50.2,2.46,2.5,2.45,2.46,2.49,2.46,2.49,2.46,2.48,2.49
50.3,4.04,4.08,4.05,4.07,4.1,4.05,4.06,4.05,4.09,4.05
50.4,5.79,5.75,5.78,5.8,5.76,5.8,5.81,5.8,5.75,5.81
mean,2.3606249999999998,2.36625,2.37,2.371875,2.3725,2.37375,2.375625,2.3762499999999998,2.376875,2.378125
