problem,optimal solution,cplex - solution,cplex - deviation (%),cplex - time (s),rvns get_initial_solution_robust - solution,rvns get_initial_solution_robust - deviation (%),rvns get_initial_solution_robust - time (s)
10.2,163603.94,163603.94,0.0,0.23,163603.94,0.0,0.02
10.3,131581.79,131581.79,0.0,0.31,131581.78,0.0,0.02
10.4,107354.73,107354.73,0.0,0.26,107354.73,0.0,0.03
10.5,86028.88,86028.88,0.0,0.28,86028.88,0.0,0.03
10.8,,54628.75,,0.21,54628.75,,0.02
15.2,,167236.84,,0.48,167236.84,,0.03
15.3,,147872.07,,0.72,147872.07,,0.06
15.4,,128607.69,,0.7,128607.68,,0.06
15.5,,111464.73,,0.63,111464.72,,0.07
15.8,,78050.11,,0.53,78050.1,,0.09
20.2,168599.79,168599.79,0.0,1.37,168599.78,0.0,0.05
20.3,148048.3,148048.3,0.0,2.0,148048.29,0.0,0.09
20.4,131665.43,131665.43,0.0,1.77,131665.42,0.0,0.12
20.5,118934.97,118934.97,0.0,1.77,120067.56,0.95,0.15
20.8,,91454.83,,1.43,91454.82,,0.24
25.2,171298.1,171298.1,0.0,3.43,171298.08,0.0,0.09
25.3,151080.66,151080.66,0.0,4.26,153172.09,1.38,0.14
25.4,135638.58,135638.58,0.0,4.76,136687.39,0.77,0.19
25.5,120581.99,120581.99,0.0,3.43,120581.98,0.0,0.33
25.8,,97795.59,,4.11,97795.58,,0.38
25.10,,86754.96,,4.6,86754.95,,0.5
40.2,173415.96,173415.96,0.0,24.42,173415.94,0.0,0.3
40.3,155458.61,155458.61,0.0,72.1,159197.6,2.41,0.43
40.4,140682.74,140682.74,0.0,69.48,140682.72,0.0,0.73
40.5,130384.74,130384.74,0.0,61.73,130384.72,0.0,0.85
40.8,,109971.92,,64.51,109971.9,,1.62
40.10,99452.67,99452.67,0.0,40.81,99452.66,0.0,1.97
50.2,174390.03,174390.03,0.0,82.15,174390.01,0.0,0.46
50.3,156014.73,156014.73,0.0,391.48,156014.7,0.0,0.82
50.4,141153.38,141153.38,0.0,318.4,141153.35,0.0,1.13
mean,140268.501,129306.91699999999,0.0,38.745333333333335,129573.9676666667,0.27549999999999997,0.36733333333333335
