problem,VND best_ls kmax=3 max_iter=10 random_init - time (s),VND first_ls kmax=3 max_iter=10 angle_init - time (s),VND first_ls kmax=3 max_iter=10 random_init - time (s),VND best_ls kmax=1 max_iter=10 angle_init - time (s),VND best_ls kmax=2 max_iter=10 angle_init - time (s),VND first_ls kmax=2 max_iter=10 random_init - time (s),VND first_ls kmax=2 max_iter=10 angle_init - time (s),VND best_ls kmax=3 max_iter=10 min_max_init - time (s),VND first_ls kmax=2 max_iter=10 min_max_init - time (s),VND first_ls kmax=3 max_iter=10 min_max_init - time (s),VND first_ls kmax=1 max_iter=10 min_max_init - time (s),VND best_ls kmax=1 max_iter=10 min_max_init - time (s),VND best_ls kmax=2 max_iter=10 min_max_init - time (s),VND first_ls kmax=1 max_iter=10 random_init - time (s),VND best_ls kmax=2 max_iter=10 random_init - time (s),VND best_ls kmax=3 max_iter=10 angle_init - time (s),VND best_ls kmax=1 max_iter=10 random_init - time (s),VND first_ls kmax=1 max_iter=10 angle_init - time (s)
40.2,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.2
40.3,0.31,0.33,0.33,0.3,0.32,0.33,0.32,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.31,0.3,0.33,0.32
40.4,0.5,0.45,0.43,0.48,0.49,0.47,0.51,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.51,0.47,0.52
40.5,0.58,0.61,0.61,0.6,0.64,0.6,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.67,0.6,0.62,0.61,0.65
40.10,1.48,1.39,1.51,1.45,1.64,1.47,1.68,1.51,1.51,1.5,1.51,1.51,1.51,1.49,1.53,1.43,1.34,1.5
50.2,0.35,0.34,0.35,0.34,0.35,0.35,0.35,0.34,0.35,0.34,0.35,0.35,0.35,0.34,0.35,0.34,0.36,0.35
50.3,0.58,0.63,0.64,0.56,0.61,0.63,0.54,0.54,0.53,0.54,0.54,0.53,0.54,0.53,0.66,0.53,0.53,0.61
50.4,0.79,0.82,0.82,0.82,0.8,0.82,0.89,0.97,0.96,0.96,0.96,0.97,0.96,0.79,0.83,0.83,0.86,0.85
50.5,1.14,1.1,1.11,1.18,1.2,1.05,1.18,1.14,1.15,1.14,1.15,1.14,1.16,1.11,1.12,1.04,1.25,1.05
50.10,3.04,2.88,2.78,2.81,2.63,2.84,2.56,2.91,2.89,2.9,2.9,2.92,2.92,2.79,2.96,2.92,3.03,3.01
100.2,2.07,2.1,2.02,2.27,2.13,2.17,2.08,2.26,2.26,2.26,2.27,2.26,2.26,2.2,2.12,2.17,2.21,2.07
100.3,4.06,3.7,4.09,4.07,3.84,3.67,3.8,3.66,3.66,3.66,3.68,3.68,3.67,3.74,3.9,4.1,3.5,3.95
100.4,5.29,6.05,6.01,5.81,5.44,5.46,5.86,5.9,5.9,5.92,5.9,5.9,5.91,5.68,5.58,5.46,6.33,5.84
100.5,7.4,7.5,7.41,7.85,7.97,7.27,7.9,7.83,7.82,7.79,7.82,7.82,7.81,7.37,8.16,7.61,7.6,8.31
200.2,15.42,14.99,15.21,14.84,14.96,15.1,14.63,15.44,15.49,15.48,15.54,15.46,15.46,14.4,14.92,14.6,15.04,15.02
200.3,26.3,26.74,26.47,27.13,27.56,28.49,27.87,28.27,28.25,28.29,28.18,28.29,28.31,30.57,29.81,31.89,31.23,31.9
mean,4.344374999999999,4.3637500000000005,4.374375000000001,4.42,4.42375,4.432499999999999,4.438750000000001,4.521875,4.5225,4.523124999999999,4.52375,4.525625,4.5275,4.54125,4.59625,4.66,4.680625,4.7593749999999995
